update_date,tests_pos,deaths,total_tests,tests_neg,new_tests
06-26-2020,140291,6847,1490952,1350661,30425
06-25-2020,139434,6810,1460527,1321093,31686
06-24-2020,138540,6770,1428841,1290301,29331
06-23-2020,137825,6707,1399510,1261685,20507
06-22-2020,137224,6671,1379003,1241779,18219
06-21-2020,136762,6647,1360784,1224022,23816
06-20-2020,136104,6625,1336968,1200864,25965
06-19-2020,135470,6580,1311003,1175533,27171
06-18-2020,134778,6537,1283832,1149054,25504
06-17-2020,134185,6485,1258328,1124143,29987
06-16-2020,133639,6398,1228341,1094702,18729
06-15-2020,133016,6326,1209612,1076596,18627
06-14-2020,132543,6308,1190985,1058442,22040
06-13-2020,131871,6289,1168945,1037074,21844
06-12-2020,131198,6260,1147101,1015903,24774
06-11-2020,130603,6185,1122327,991724,22325
06-10-2020,129837,6095,1100002,970165,20820
06-09-2020,129212,6018,1079182,949970,20309
06-08-2020,128415,5924,1058873,930458,16099
06-07-2020,127757,5904,1042774,915017,20700
06-06-2020,126890,5864,1022074,895184,21155
06-05-2020,125915,5795,1000919,875004,18903
06-04-2020,124759,5736,982016,857257,22841
06-03-2020,123830,5621,959175,835345,24471
06-02-2020,122848,5525,934704,811856,16431
06-01-2020,121234,5412,918273,797039,20014
05-31-2020,120260,5390,898259,777999,21154
05-30-2020,118917,5330,877105,758188,25343
05-29-2020,117455,5270,851762,734307,21796
05-28-2020,115833,5186,829966,714133,25993
05-27-2020,114306,5083,803973,689667,17179
05-26-2020,113195,4923,786794,673599,17230
05-25-2020,112017,4884,769564,657547,21643
05-24-2020,110304,4856,747921,637617,25674
05-23-2020,107796,4790,722247,614451,25114
05-22-2020,105444,4715,697133,591689,25113
05-21-2020,102686,4607,672020,569334,29307
05-20-2020,100418,4525,642713,542295,21029
05-19-2020,98030,4379,621684,523654,18443
05-18-2020,96485,4234,603241,506756,21297
05-17-2020,94191,4177,581944,487753,20295
05-16-2020,92457,4129,561649,469192,23047
05-15-2020,90369,4058,538602,448233,26565
05-14-2020,87937,3928,512037,424100,22678
05-13-2020,84698,3792,489359,404661,17668
05-12-2020,83021,3601,471691,388670,29266
05-11-2020,79007,3459,442425,363418,12441
05-10-2020,77741,3406,429984,352243,13653
05-09-2020,76085,3349,416331,340246,16617
05-08-2020,73760,3241,399714,325954,20671
05-07-2020,70873,3111,379043,308170,17783
05-06-2020,68232,2974,361260,293028,14974
05-05-2020,65962,2838,346286,280324,13139
05-04-2020,63840,2662,333147,269307,13834
05-03-2020,61499,2618,319313,257814,19417
05-02-2020,58505,2559,299896,241391,15208
05-01-2020,56055,2457,284688,228633,14821
04-30-2020,52918,2355,269867,216949,13200
04-29-2020,50355,2215,256667,206312,14478
04-28-2020,48102,2125,242189,194087,14561
04-27-2020,45883,1983,227628,181745,12676
04-26-2020,43903,1933,214952,171049,13335
04-25-2020,41777,1874,201617,159840,11985
04-24-2020,39658,1795,189632,149974,16316
04-23-2020,36934,1688,173316,136382,8970
04-22-2020,35108,1565,164346,129238,9349
04-21-2020,33059,1468,154997,121938,6639
04-20-2020,31508,1349,148358,116850,5040
04-19-2020,30357,1290,143318,112961,5914
04-18-2020,29160,1259,137404,108244,7241
04-17-2020,27575,1134,130163,102588,7574
04-16-2020,25733,1072,122589,96856,5660
04-15-2020,24593,948,116929,92336,6313
04-14-2020,23247,868,110616,87369,4848
04-13-2020,22025,794,105768,83743,5033
04-12-2020,20852,720,100735,79883,8586
04-11-2020,19180,677,92149,72969,4622
04-10-2020,17887,596,87527,69640,6670
04-09-2020,16422,528,80857,64435,5791
04-08-2020,15078,462,75066,59988,6334
04-07-2020,13549,380,68732,55183,5790
04-06-2020,12262,307,62942,50680,3959
04-05-2020,11256,274,58983,47727,5402
04-04-2020,10357,243,53581,43224,5533
04-03-2020,8904,210,48048,39144,4392
04-02-2020,7695,157,43656,35961,3272
04-01-2020,6980,141,40384,33404,5159
03-31-2020,5994,99,35225,29231,4779
03-30-2020,5057,73,30446,25389,2684
03-29-2020,4596,65,27762,23166,2271
03-28-2020,3491,47,25491,22000,3949
03-27-2020,3026,34,21542,18516,4911
03-26-2020,2538,26,16631,14093,2422
03-25-2020,1865,19,14209,12344,2740
03-24-2020,1535,16,11469,9934,1613
03-23-2020,1273,12,9856,8583,1536
03-22-2020,1049,9,8320,7271,2079
03-21-2020,753,6,6241,5488,1960
03-20-2020,585,5,4281,3696,1134
03-19-2020,422,4,3147,2725,1096
03-18-2020,288,1,2051,1763,552
03-17-2020,159,1,1499,1340,474
03-16-2020,93,N/A,1025,932,512
03-15-2020,64,N/A,513,449,151
03-14-2020,46,N/A,362,316,36
03-13-2020,32,N/A,326,294,35
03-12-2020,25,N/A,291,266,28
03-11-2020,19,N/A,263,244,0
03-10-2020,19,N/A,263,244,65
03-09-2020,7,N/A,198,191,1
03-08-2020,6,N/A,197,191,0
03-07-2020,6,N/A,197,191,12
03-06-2020,5,N/A,185,180,15
03-05-2020,5,N/A,170,165,42
03-04-2020,4,N/A,128,124,N/A
