update_date,update_time,County,Positive_Cases,Deaths,Tested,NOFO_Region,Metro_Area
10-31-2020,10:45,Henderson,136,0,"2,123",West Central,
10-31-2020,10:45,Henry,886,7,"22,198",Northwest,Davenport
10-31-2020,10:45,Iroquois,556,19,"14,799",Northeast Central,
10-31-2020,10:45,Jackson,"1,646",26,"24,109",Southern,Carbondale-Marion
10-31-2020,10:45,Jasper,286,10,"3,637",Southeast Central,
10-31-2020,10:45,Jefferson,990,52,"13,861",Southern,
10-31-2020,10:45,Jersey,492,21,"8,605",Southwest Central,St_Louis
10-31-2020,10:45,Jo Daviess,574,9,"7,908",Northwest,
10-31-2020,10:45,Johnson,400,0,"4,206",Southern,
10-31-2020,10:45,Kane,"18,390",356,"236,856",Collar,Elgin
10-31-2020,10:45,Kankakee,"3,798",81,"69,593",Collar,Kankakee
10-31-2020,10:45,Kendall,"3,026",30,"46,382",Collar,Chicago
10-31-2020,10:45,Knox,"1,447",21,"25,394",West Central,
10-31-2020,10:45,Lake,"22,278",520,"338,969",Collar,Lake
10-31-2020,10:45,LaSalle,"2,736",69,"41,819",Northwest,
10-31-2020,10:45,Lawrence,370,8,"7,041",Southeast Central,
10-31-2020,10:45,Lee,907,2,"11,708",Northwest,
10-31-2020,10:45,Livingston,753,12,"18,998",North Central,
10-31-2020,10:45,Logan,657,4,"19,304",Central,
10-31-2020,10:45,Macon,"3,629",57,"56,633",Central,Decatur
10-31-2020,10:45,Macoupin,871,11,"23,286",Central,St_Louis
10-31-2020,10:45,Madison,"7,643",159,"102,990",Southwest Central,St_Louis
10-31-2020,10:45,Marion,"1,187",25,"20,243",Southeast Central,
10-31-2020,10:45,Marshall,176,3,"6,014",North Central,Peoria
10-31-2020,10:45,Mason,350,7,"6,511",North Central,
10-31-2020,10:45,Massac,167,2,"3,515",Southern,
10-31-2020,10:45,McDonough,823,22,"13,864",West Central,
10-31-2020,10:45,McHenry,"7,115",121,"107,089",Collar,Chicago
10-31-2020,10:45,McLean,"4,422",38,"103,946",North Central,Bloomington
10-31-2020,10:45,Menard,191,1,"6,263",Central,Springfield
10-31-2020,10:45,Mercer,325,6,"6,819",Northwest,Davenport
10-31-2020,10:45,Monroe,"1,051",32,"11,902",Southwest Central,St_Louis
10-31-2020,10:45,Montgomery,681,16,"18,249",Central,
10-31-2020,10:45,Morgan,"1,059",26,"16,990",Central,
10-31-2020,10:45,Moultrie,490,6,"7,465",Southeast Central,
10-31-2020,10:45,Ogle,"1,400",8,"21,059",Northern,
10-31-2020,10:45,Out Of State,1,0,"55,522",Out Of State,
10-31-2020,10:45,Peoria,"4,995",78,"114,518",North Central,Peoria
10-31-2020,10:45,Perry,495,16,"7,979",Southern,
10-31-2020,10:45,Piatt,287,2,"11,486",Northeast Central,Champaign-Urbana
10-31-2020,10:45,Pike,432,7,"5,867",West Central,
10-31-2020,10:45,Pope,44,1,854,Southern,
10-31-2020,10:45,Pulaski,246,1,"2,153",Southern,
10-31-2020,10:45,Putnam,103,0,"1,681",Northwest,
10-31-2020,10:45,Randolph,"1,394",15,"16,515",Southern,
10-31-2020,10:45,Richland,352,18,"8,260",Southeast Central,
10-31-2020,10:45,Rock Island,"4,469",95,"77,067",Northwest,Davenport
10-31-2020,10:45,Saline,646,11,"8,802",Southern,
10-31-2020,10:45,Sangamon,"4,548",65,"139,277",Central,Springfield
10-31-2020,10:45,Schuyler,101,1,"2,371",West Central,
10-31-2020,10:45,Scott,116,0,"2,915",Central,
10-31-2020,10:45,Shelby,760,12,"9,093",Central,
10-31-2020,10:45,St. Clair,"8,342",224,"110,654",Southwest Central,St_Louis
10-31-2020,10:45,Stark,98,3,"2,931",North Central,Peoria
10-31-2020,10:45,Stephenson,"1,221",9,"18,173",Northern,
10-31-2020,10:45,Tazewell,"2,965",59,"77,943",North Central,Peoria
10-31-2020,10:45,Unassigned,56,0,"64,337",Unassigned,
10-31-2020,10:45,Union,817,25,"9,210",Southern,
10-31-2020,10:45,Vermilion,"1,933",12,"38,499",Northeast Central,Danville
10-31-2020,10:45,Wabash,259,6,"3,123",Southern,
10-31-2020,10:45,Warren,568,9,"5,971",West Central,
10-31-2020,10:45,Washington,346,2,"4,326",Southwest Central,
10-31-2020,10:45,Wayne,540,18,"5,829",Southern,
10-31-2020,10:45,White,294,5,"7,760",Southern,
10-31-2020,10:45,Whiteside,"1,738",31,"22,231",Northwest,
10-31-2020,10:45,Will,"20,358",442,"292,140",Collar,Chicago
10-31-2020,10:45,Williamson,"2,040",61,"33,390",Southern,Carbondale-Marion
10-31-2020,10:45,Winnebago,"11,425",187,"142,774",Northern,Rockford
10-31-2020,10:45,Woodford,746,15,"18,294",North Central,Peoria
10-30-2020,12:45,Illinois,"402,401","9,711","7,637,209",Illinois,Illinois
10-30-2020,12:45,Adams,"2,136",24,"40,599",West Central,
10-30-2020,12:45,Alexander,147,1,"2,486",Southern,Cape_Girardeau
10-30-2020,12:45,Bond,532,9,"8,045",Southwest Central,St_Louis
10-30-2020,12:45,Boone,"2,038",25,"22,857",Northern,Rockford
10-30-2020,12:45,Brown,121,0,"2,310",West Central,
10-30-2020,12:45,Bureau,986,17,"13,534",Northwest,
10-30-2020,12:45,Calhoun,70,0,"1,735",Southwest Central,St_Louis
10-30-2020,12:45,Carroll,490,13,"7,459",Northwest,
10-30-2020,12:45,Cass,474,11,"5,837",Central,
10-30-2020,12:45,Champaign,"6,585",28,"802,137",Northeast Central,Champaign-Urbana
10-30-2020,12:45,Chicago,"100,952","3,068","1,525,227",Chicago,Chicago
10-30-2020,12:45,Christian,888,31,"14,844",Central,
10-30-2020,12:45,Clark,328,18,"5,700",Southeast Central,
10-30-2020,12:45,Clay,335,14,"4,677",Southeast Central,
10-30-2020,12:45,Clinton,"1,877",31,"18,448",Southwest Central,St_Louis
10-30-2020,12:45,Coles,"2,111",40,"28,423",Southeast Central,
10-30-2020,12:45,Cook,"85,453","2,401","1,330,314",Suburban,Chicago
10-30-2020,12:45,Crawford,676,6,"6,159",Southeast Central,
10-30-2020,12:45,Cumberland,313,6,"4,741",Southeast Central,
10-30-2020,12:45,De Witt,282,6,"6,248",North Central,Bloomington
10-30-2020,12:45,DeKalb,"2,605",43,"47,001",Northern,Elgin
10-30-2020,12:45,Douglas,787,9,"11,675",Northeast Central,
