date,region,id,ICUAvail,ICUCapacity,VentsAvailable,VentsCapacity
2020-12-15,Region 1,1,44,179,228,342
2020-12-15,Region 10,10,114,733,589,928
2020-12-15,Region 11,11,196,937,1223,1760
2020-12-15,Region 2,2,46,235,373,474
2020-12-15,Region 3,3,29,164,321,421
2020-12-15,Region 4,4,24,113,117,164
2020-12-15,Region 5,5,12,85,237,263
2020-12-15,Region 6,6,47,160,270,323
2020-12-15,Region 7,7,28,162,84,139
2020-12-15,Region 8,8,67,324,354,573
2020-12-15,Region 9,9,46,192,232,289
2020-12-16,Region 1,1,38,179,254,343
2020-12-16,Region 10,10,144,733,580,928
2020-12-16,Region 11,11,183,937,1277,1774
2020-12-16,Region 2,2,45,235,378,474
2020-12-16,Region 3,3,27,163,334,421
2020-12-16,Region 4,4,14,113,124,166
2020-12-16,Region 5,5,17,91,239,263
2020-12-16,Region 6,6,42,160,270,323
2020-12-16,Region 7,7,32,162,86,139
2020-12-16,Region 8,8,69,324,351,573
2020-12-16,Region 9,9,45,192,230,291
2020-12-17,Region 1,1,40,179,208,343
2020-12-17,Region 10,10,126,733,602,928
2020-12-17,Region 11,11,208,937,1270,1774
2020-12-17,Region 2,2,46,235,381,474
2020-12-17,Region 3,3,25,164,317,421
2020-12-17,Region 4,4,19,113,116,164
2020-12-17,Region 5,5,17,91,240,263
2020-12-17,Region 6,6,42,160,268,323
2020-12-17,Region 7,7,34,162,86,139
2020-12-17,Region 8,8,60,324,362,573
2020-12-17,Region 9,9,49,192,229,291
2020-12-18,Region 1,1,40,179,200,343
2020-12-18,Region 10,10,123,733,607,928
2020-12-18,Region 11,11,211,937,1289,1780
2020-12-18,Region 2,2,50,235,369,474
2020-12-18,Region 3,3,25,166,312,421
2020-12-18,Region 4,4,23,113,109,164
2020-12-18,Region 5,5,16,89,243,263
2020-12-18,Region 6,6,40,160,267,323
2020-12-18,Region 7,7,39,162,87,139
2020-12-18,Region 8,8,65,324,358,573
2020-12-18,Region 9,9,51,192,232,291
2020-12-19,Region 1,1,43,179,239,343
2020-12-19,Region 10,10,135,733,614,928
2020-12-19,Region 11,11,223,938,1240,1764
2020-12-19,Region 2,2,44,235,368,474
2020-12-19,Region 3,3,17,162,334,421
2020-12-19,Region 4,4,18,113,109,164
2020-12-19,Region 5,5,13,89,253,268
2020-12-19,Region 6,6,40,160,269,323
2020-12-19,Region 7,7,42,162,80,139
2020-12-19,Region 8,8,71,324,353,572
2020-12-19,Region 9,9,47,192,235,291
2020-12-20,Region 1,1,50,179,240,343
2020-12-20,Region 10,10,161,733,619,928
2020-12-20,Region 11,11,235,938,1266,1767
2020-12-20,Region 2,2,45,235,381,474
2020-12-20,Region 3,3,30,161,331,421
2020-12-20,Region 4,4,19,113,112,165
2020-12-20,Region 5,5,14,89,250,268
2020-12-20,Region 6,6,51,160,268,323
2020-12-20,Region 7,7,39,162,86,139
2020-12-20,Region 8,8,83,324,359,572
2020-12-20,Region 9,9,52,192,234,291
2020-12-21,Region 1,1,46,179,250,343
2020-12-21,Region 10,10,144,733,598,928
2020-12-21,Region 11,11,268,939,1262,1765
2020-12-21,Region 2,2,47,235,381,475
2020-12-21,Region 3,3,37,166,323,421
2020-12-21,Region 4,4,22,114,114,164
2020-12-21,Region 5,5,15,89,251,268
2020-12-21,Region 6,6,44,160,270,323
2020-12-21,Region 7,7,37,162,88,139
2020-12-21,Region 8,8,93,324,356,572
2020-12-21,Region 9,9,52,192,230,291
2020-12-22,Region 1,1,39,179,226,343
2020-12-22,Region 10,10,119,733,603,928
2020-12-22,Region 11,11,210,937,1265,1765
2020-12-22,Region 2,2,43,235,376,475
2020-12-22,Region 3,3,21,169,312,421
2020-12-22,Region 4,4,20,113,115,164
2020-12-22,Region 5,5,12,89,244,268
2020-12-22,Region 6,6,59,160,275,323
2020-12-22,Region 7,7,31,162,93,139
2020-12-22,Region 8,8,66,324,349,572
2020-12-22,Region 9,9,51,188,232,291
2020-12-23,Region 1,1,37,179,209,343
2020-12-23,Region 10,10,117,733,602,928
2020-12-23,Region 11,11,206,937,1298,1773
2020-12-23,Region 2,2,38,235,387,475
2020-12-23,Region 3,3,22,165,321,421
2020-12-23,Region 4,4,20,113,119,166
2020-12-23,Region 5,5,15,83,245,268
2020-12-23,Region 6,6,50,160,274,323
2020-12-23,Region 7,7,26,162,90,139
2020-12-23,Region 8,8,73,324,353,572
2020-12-23,Region 9,9,50,188,247,295
2020-12-24,Region 1,1,43,179,254,343
2020-12-24,Region 10,10,135,733,621,928
2020-12-24,Region 11,11,241,935,1288,1773
2020-12-24,Region 2,2,53,235,388,475
2020-12-24,Region 3,3,25,166,327,421
2020-12-24,Region 4,4,20,113,116,164
2020-12-24,Region 5,5,13,83,249,268
2020-12-24,Region 6,6,50,160,273,323
2020-12-24,Region 7,7,40,162,88,139
2020-12-24,Region 8,8,72,324,357,572
2020-12-24,Region 9,9,64,188,245,295
2020-12-25,Region 1,1,51,179,262,343
2020-12-25,Region 10,10,151,733,628,928
2020-12-25,Region 11,11,276,940,1259,1774
2020-12-25,Region 2,2,54,235,392,475
2020-12-25,Region 3,3,30,163,335,421
2020-12-25,Region 4,4,23,113,118,166
2020-12-25,Region 5,5,14,83,251,268
2020-12-25,Region 6,6,62,160,277,323
2020-12-25,Region 7,7,46,162,84,139
2020-12-25,Region 8,8,87,324,376,572
2020-12-25,Region 9,9,52,188,238,295
2020-12-26,Region 1,1,46,179,225,343
2020-12-26,Region 10,10,148,733,622,928
2020-12-26,Region 11,11,232,941,1261,1775
2020-12-26,Region 2,2,53,235,395,475
2020-12-26,Region 3,3,29,163,326,421
2020-12-26,Region 4,4,30,113,112,166
2020-12-26,Region 5,5,14,83,250,268
2020-12-26,Region 6,6,59,160,273,323
2020-12-26,Region 7,7,43,162,82,139
2020-12-26,Region 8,8,112,324,380,572
2020-12-26,Region 9,9,65,188,240,295
2020-12-27,Region 1,1,53,179,244,343
2020-12-27,Region 10,10,148,733,613,928
2020-12-27,Region 11,11,249,941,1287,1775
2020-12-27,Region 2,2,54,235,397,474
2020-12-27,Region 3,3,34,158,336,421
2020-12-27,Region 4,4,27,113,96,164
2020-12-27,Region 5,5,13,83,255,268
2020-12-27,Region 6,6,59,160,277,323
2020-12-27,Region 7,7,42,162,86,139
2020-12-27,Region 8,8,106,324,376,578
2020-12-27,Region 9,9,55,188,238,295
2020-12-28,Region 1,1,45,179,228,343
2020-12-28,Region 10,10,144,733,618,928
2020-12-28,Region 11,11,214,938,1264,1773
2020-12-28,Region 2,2,51,235,384,474
2020-12-28,Region 3,3,42,159,328,421
2020-12-28,Region 4,4,28,113,103,164
2020-12-28,Region 5,5,12,89,238,258
2020-12-28,Region 6,6,54,160,275,323
2020-12-28,Region 7,7,35,162,93,139
2020-12-28,Region 8,8,110,324,357,578
2020-12-28,Region 9,9,62,188,241,295
2020-12-29,Region 1,1,39,179,224,343
2020-12-29,Region 10,10,124,733,623,928
2020-12-29,Region 11,11,229,938,1228,1773
2020-12-29,Region 2,2,48,235,390,474
2020-12-29,Region 3,3,45,161,299,421
2020-12-29,Region 4,4,21,113,106,164
2020-12-29,Region 5,5,13,89,234,258
