date,category,perc,count,baseline
2020-10-13,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.817407,475,12443
2020-10-13,SUBSYNDROME ShortnessOfBreath,6.766857,842,12443
2020-10-12,CCDD CDC Pneumonia CCDD v1,2.78706,367,13168
2020-10-12,CCDD CLI CC with CLI DD and Coronavirus DD v1,4.032503,531,13168
2020-10-12,SUBSYNDROME ShortnessOfBreath,7.191677,947,13168
2020-10-11,CCDD CDC Pneumonia CCDD v1,2.580816,293,11353
2020-10-11,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.998943,454,11353
2020-10-11,SUBSYNDROME ShortnessOfBreath,5.927949,673,11353
2020-10-10,CCDD CDC Pneumonia CCDD v1,2.701321,317,11735
2020-10-10,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.587559,421,11735
2020-10-10,SUBSYNDROME ShortnessOfBreath,6.169578,724,11735
2020-10-09,CCDD CDC Pneumonia CCDD v1,2.575073,319,12388
2020-10-09,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.479173,431,12388
2020-10-09,SUBSYNDROME ShortnessOfBreath,6.877624,852,12388
2020-10-08,CCDD CDC Pneumonia CCDD v1,2.6065,320,12277
2020-10-08,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.820152,469,12277
2020-10-08,SUBSYNDROME ShortnessOfBreath,6.956097,854,12277
2020-10-07,CCDD CDC Pneumonia CCDD v1,2.851469,359,12590
2020-10-07,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.661636,461,12590
2020-10-07,SUBSYNDROME ShortnessOfBreath,6.973789,878,12590
2020-10-06,CCDD CDC Pneumonia CCDD v1,2.905997,362,12457
2020-10-06,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.829172,477,12457
2020-10-06,SUBSYNDROME ShortnessOfBreath,7.489765,933,12457
2020-10-05,CCDD CDC Pneumonia CCDD v1,3.003492,387,12885
2020-10-05,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.896003,502,12885
2020-10-05,SUBSYNDROME ShortnessOfBreath,7.34187,946,12885
2020-10-04,CCDD CDC Pneumonia CCDD v1,2.636802,279,10581
2020-10-04,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.411776,361,10581
2020-10-04,SUBSYNDROME ShortnessOfBreath,6.209243,657,10581
2020-10-03,CCDD CDC Pneumonia CCDD v1,2.977266,313,10513
2020-10-03,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.842861,404,10513
2020-10-03,SUBSYNDROME ShortnessOfBreath,5.821364,612,10513
2020-10-02,CCDD CDC Pneumonia CCDD v1,2.551156,288,11289
2020-10-02,CCDD CLI CC with CLI DD and Coronavirus DD v1,3.64957,412,11289
2020-10-02,SUBSYNDROME ShortnessOfBreath,6.129861,692,11289
2020-10-01,CCDD CDC Pneumonia CCDD v1,2.530426,289,11421
