date,agegroup,race,gender,cases,tested,deaths
2020-12-02,30-39,NA,NA,120495,1520991,164
2020-12-02,40-49,AI/AN**,NA,135,1175,1
2020-12-02,40-49,Asian,NA,2416,32771,13
2020-12-02,40-49,Black,NA,11155,114365,109
2020-12-02,40-49,Hispanic,NA,27216,114655,193
2020-12-02,40-49,Left Blank,NA,37261,609040,3
2020-12-02,40-49,NH/PI*,NA,134,1418,1
2020-12-02,40-49,Other,NA,4238,42885,0
2020-12-02,40-49,White,NA,33628,386766,59
2020-12-02,40-49,NA,NA,116183,1303075,379
2020-12-02,50-59,AI/AN**,NA,130,1173,2
2020-12-02,50-59,Asian,NA,2144,27695,29
2020-12-02,50-59,Black,NA,10692,121925,258
2020-12-02,50-59,Hispanic,NA,19375,86402,357
2020-12-02,50-59,Left Blank,NA,35972,636943,13
2020-12-02,50-59,NH/PI*,NA,110,1450,2
2020-12-02,50-59,Other,NA,3819,39037,6
2020-12-02,50-59,White,NA,39390,464862,245
2020-12-02,50-59,NA,NA,111632,1379487,912
2020-12-02,60-69,AI/AN**,NA,88,849,4
2020-12-02,60-69,Asian,NA,1647,18218,74
2020-12-02,60-69,Black,NA,8163,102931,599
2020-12-02,60-69,Hispanic,NA,9729,48613,529
2020-12-02,60-69,Left Blank,NA,24269,525744,29
2020-12-02,60-69,NH/PI*,NA,90,908,4
2020-12-02,60-69,Other,NA,2448,29146,15
2020-12-02,60-69,White,NA,31818,426513,774
2020-12-02,60-69,NA,NA,78252,1152922,2028
2020-12-02,70-79,AI/AN**,NA,50,465,3
2020-12-02,70-79,Asian,NA,869,9405,120
2020-12-02,70-79,Black,NA,4590,52821,707
2020-12-02,70-79,Hispanic,NA,3857,19990,488
2020-12-02,70-79,Left Blank,NA,11622,304371,78
2020-12-02,70-79,NH/PI*,NA,32,351,2
2020-12-02,70-79,Other,NA,1096,16345,25
2020-12-02,70-79,White,NA,19505,287505,1663
2020-12-02,70-79,NA,NA,41621,691253,3086
2020-12-02,80+,AI/AN**,NA,31,248,7
2020-12-02,80+,Asian,NA,597,5633,217
2020-12-02,80+,Black,NA,2954,29272,877
2020-12-02,80+,Hispanic,NA,1879,10068,505
2020-12-02,80+,Left Blank,NA,8746,334837,231
2020-12-02,80+,NH/PI*,NA,19,159,3
2020-12-02,80+,Other,NA,549,8447,30
2020-12-02,80+,White,NA,17049,254657,4152
2020-12-02,80+,NA,NA,31824,643321,6022
2020-12-02,Unknown,AI/AN**,NA,0,1,0
2020-12-02,Unknown,Asian,NA,0,52,0
2020-12-02,Unknown,Black,NA,5,177,0
2020-12-02,Unknown,Hispanic,NA,11,265,0
2020-12-02,Unknown,Left Blank,NA,181,589056,0
2020-12-02,Unknown,NH/PI*,NA,0,0,0
2020-12-02,Unknown,Other,NA,2,45,0
2020-12-02,Unknown,White,NA,35,558,0
2020-12-02,Unknown,NA,NA,234,590154,0
2020-12-02,NA,AI/AN**,NA,864,8329,17
2020-12-02,NA,Asian,NA,14746,398570,461
2020-12-02,NA,Black,NA,70513,799294,2628
2020-12-02,NA,Hispanic,NA,143795,768787,2177
2020-12-02,NA,Left Blank,NA,239626,4948667,356
2020-12-02,NA,NH/PI*,NA,744,10950,12
2020-12-02,NA,Other,NA,25812,330013,77
2020-12-02,NA,White,NA,252503,3434976,6911
2020-12-02,NA,NA,Female,386521,5597391,5854
2020-12-02,NA,NA,Male,350537,4236937,6785
2020-12-02,NA,NA,Unknown/Left Blank,11545,865258,0
2020-12-01,<20,AI/AN**,NA,113,1164,0
2020-12-01,<20,Asian,NA,1616,78368,0
2020-12-01,<20,Black,NA,8096,99271,5
2020-12-01,<20,Hispanic,NA,24338,151849,1
2020-12-01,<20,Left Blank,NA,35514,457652,0
2020-12-01,<20,NH/PI*,NA,87,1777,0
2020-12-01,<20,Other,NA,3860,56364,0
2020-12-01,<20,White,NA,31356,459915,2
2020-12-01,<20,NA,NA,104980,1306360,8
2020-12-01,20-29,AI/AN**,NA,167,1923,0
2020-12-01,20-29,Asian,NA,2817,174632,2
2020-12-01,20-29,Black,NA,12766,154506,16
2020-12-01,20-29,Hispanic,NA,30264,203476,20
2020-12-01,20-29,Left Blank,NA,45435,779152,0
2020-12-01,20-29,NH/PI*,NA,133,3026,0
2020-12-01,20-29,Other,NA,5051,82553,1
2020-12-01,20-29,White,NA,43540,685057,1
2020-12-01,20-29,NA,NA,140173,2084325,40
2020-12-01,30-39,AI/AN**,NA,149,1309,0
2020-12-01,30-39,Asian,NA,2521,48791,6
2020-12-01,30-39,Black,NA,11789,120849,57
2020-12-01,30-39,Hispanic,NA,26298,129502,84
2020-12-01,30-39,Left Blank,NA,39149,698023,2
2020-12-01,30-39,NH/PI*,NA,138,1815,0
2020-12-01,30-39,Other,NA,4530,53832,0
2020-12-01,30-39,White,NA,34416,454609,15
2020-12-01,30-39,NA,NA,118990,1508730,164
2020-12-01,40-49,AI/AN**,NA,133,1163,1
2020-12-01,40-49,Asian,NA,2381,32405,13
2020-12-01,40-49,Black,NA,11066,113385,107
2020-12-01,40-49,Hispanic,NA,26972,113710,192
2020-12-01,40-49,Left Blank,NA,36814,604654,3
2020-12-01,40-49,NH/PI*,NA,132,1410,1
2020-12-01,40-49,Other,NA,4170,42544,0
2020-12-01,40-49,White,NA,33073,382989,58
2020-12-01,40-49,NA,NA,114741,1292260,375
2020-12-01,50-59,AI/AN**,NA,128,1164,2
2020-12-01,50-59,Asian,NA,2112,27390,28
2020-12-01,50-59,Black,NA,10588,120919,255
2020-12-01,50-59,Hispanic,NA,19199,85689,355
2020-12-01,50-59,Left Blank,NA,35500,632434,10
2020-12-01,50-59,NH/PI*,NA,110,1442,2
2020-12-01,50-59,Other,NA,3757,38675,6
2020-12-01,50-59,White,NA,38754,460347,242
2020-12-01,50-59,NA,NA,110148,1368060,900
2020-12-01,60-69,AI/AN**,NA,87,844,4
2020-12-01,60-69,Asian,NA,1630,18038,74
2020-12-01,60-69,Black,NA,8068,102188,595
2020-12-01,60-69,Hispanic,NA,9643,48218,524
2020-12-01,60-69,Left Blank,NA,23896,522203,28
2020-12-01,60-69,NH/PI*,NA,88,897,3
2020-12-01,60-69,Other,NA,2397,28937,14
2020-12-01,60-69,White,NA,31308,422764,758
2020-12-01,60-69,NA,NA,77117,1144089,2000
2020-12-01,70-79,AI/AN**,NA,49,461,3
2020-12-01,70-79,Asian,NA,857,9320,115
2020-12-01,70-79,Black,NA,4554,52456,702
2020-12-01,70-79,Hispanic,NA,3822,19839,480
2020-12-01,70-79,Left Blank,NA,11480,302322,69
2020-12-01,70-79,NH/PI*,NA,32,350,2
2020-12-01,70-79,Other,NA,1081,16234,21
2020-12-01,70-79,White,NA,19206,285184,1622
2020-12-01,70-79,NA,NA,41081,686166,3014
2020-12-01,80+,AI/AN**,NA,31,248,6
2020-12-01,80+,Asian,NA,587,5584,214
2020-12-01,80+,Black,NA,2935,29059,872
2020-12-01,80+,Hispanic,NA,1861,9998,499
2020-12-01,80+,Left Blank,NA,8638,332794,223
2020-12-01,80+,NH/PI*,NA,19,154,3
2020-12-01,80+,Other,NA,543,8390,29
2020-12-01,80+,White,NA,16766,252196,4056
2020-12-01,80+,NA,NA,31380,638423,5902
2020-12-01,Unknown,AI/AN**,NA,0,1,0
2020-12-01,Unknown,Asian,NA,0,52,0
2020-12-01,Unknown,Black,NA,5,176,0
2020-12-01,Unknown,Hispanic,NA,11,265,0
2020-12-01,Unknown,Left Blank,NA,183,584570,0
2020-12-01,Unknown,NH/PI*,NA,0,0,0
2020-12-01,Unknown,Other,NA,2,45,0
2020-12-01,Unknown,White,NA,35,557,0
2020-12-01,Unknown,NA,NA,236,585666,0
2020-12-01,NA,AI/AN**,NA,857,8277,16
2020-12-01,NA,Asian,NA,14521,394580,452
2020-12-01,NA,Black,NA,69867,792809,2609
2020-12-01,NA,Hispanic,NA,142408,762546,2155
2020-12-01,NA,Left Blank,NA,236609,4913804,335
2020-12-01,NA,NH/PI*,NA,739,10871,11
2020-12-01,NA,Other,NA,25391,327574,71
2020-12-01,NA,White,NA,248454,3403618,6754
2020-12-01,NA,NA,Female,381359,5552247,5748
2020-12-01,NA,NA,Male,346088,4202621,6655
