county,date,measure,group,cases,tested
Adams,2020-12-13,gender,Female,2749,41612
Adams,2020-12-13,gender,Male,2369,28661
Adams,2020-12-13,gender,Unknown/Left Blank,304,6050
Adams,2020-12-13,race,AI/AN**,0,24
Adams,2020-12-13,race,Asian,0,106
Adams,2020-12-13,race,Black,85,704
Adams,2020-12-13,race,Hispanic,9,174
Adams,2020-12-13,race,Left Blank,4005,53259
Adams,2020-12-13,race,NH/PI*,0,48
Adams,2020-12-13,race,Other,0,114
Adams,2020-12-13,race,White,1305,21894
Adams,2020-12-12,age,<20,7,6
Adams,2020-12-12,age,20-29,9,8
Adams,2020-12-12,age,30-39,6,1
Adams,2020-12-12,age,40-49,4,9
Adams,2020-12-12,age,50-59,8,3
Adams,2020-12-12,age,60-69,5,7
Adams,2020-12-12,age,70-79,3,5
Adams,2020-12-12,age,80+,2,2
Adams,2020-12-12,age,Unknown,1,4
Adams,2020-12-12,gender,Female,2742,41317
Adams,2020-12-12,gender,Male,2364,28601
Adams,2020-12-12,gender,Unknown/Left Blank,304,6030
Adams,2020-12-12,race,AI/AN**,0,24
Adams,2020-12-12,race,Asian,0,106
Adams,2020-12-12,race,Black,85,704
Adams,2020-12-12,race,Hispanic,9,174
Adams,2020-12-12,race,Left Blank,3994,52889
Adams,2020-12-12,race,NH/PI*,0,48
Adams,2020-12-12,race,Other,0,114
Adams,2020-12-12,race,White,1304,21889
Adams,2020-12-11,age,<20,7,6
Adams,2020-12-11,age,20-29,9,8
Adams,2020-12-11,age,30-39,6,1
Adams,2020-12-11,age,40-49,4,9
Adams,2020-12-11,age,50-59,8,3
Adams,2020-12-11,age,60-69,5,7
Adams,2020-12-11,age,70-79,3,5
Adams,2020-12-11,age,80+,2,2
Adams,2020-12-11,age,Unknown,1,4
Adams,2020-12-11,gender,Female,2701,41023
Adams,2020-12-11,gender,Male,2329,28422
Adams,2020-12-11,gender,Unknown/Left Blank,296,5831
Adams,2020-12-11,race,AI/AN**,0,24
Adams,2020-12-11,race,Asian,0,106
Adams,2020-12-11,race,Black,85,702
Adams,2020-12-11,race,Hispanic,9,174
Adams,2020-12-11,race,Left Blank,3915,52259
Adams,2020-12-11,race,NH/PI*,0,48
Adams,2020-12-11,race,Other,0,114
Adams,2020-12-11,race,White,1299,21849
Adams,2020-12-10,age,<20,7,6
Adams,2020-12-10,age,20-29,9,8
Adams,2020-12-10,age,30-39,6,1
Adams,2020-12-10,age,40-49,4,9
Adams,2020-12-10,age,50-59,8,3
Adams,2020-12-10,age,60-69,5,7
Adams,2020-12-10,age,70-79,3,5
Adams,2020-12-10,age,80+,2,2
Adams,2020-12-10,age,Unknown,1,4
Adams,2020-12-10,gender,Female,2668,40384
Adams,2020-12-10,gender,Male,2297,27962
Adams,2020-12-10,gender,Unknown/Left Blank,296,5780
Adams,2020-12-10,race,AI/AN**,0,24
Adams,2020-12-10,race,Asian,0,106
Adams,2020-12-10,race,Black,85,687
Adams,2020-12-10,race,Hispanic,9,174
Adams,2020-12-10,race,Left Blank,3859,51436
Adams,2020-12-10,race,NH/PI*,0,47
Adams,2020-12-10,race,Other,0,113
Adams,2020-12-10,race,White,1289,21539
Adams,2020-12-09,age,<20,7,4
Adams,2020-12-09,age,20-29,9,6
Adams,2020-12-09,age,30-39,6,9
Adams,2020-12-09,age,40-49,4,7
Adams,2020-12-09,age,50-59,8,1
Adams,2020-12-09,age,60-69,5,5
Adams,2020-12-09,age,70-79,3,3
Adams,2020-12-09,age,80+,2,8
Adams,2020-12-09,age,Unknown,1,2
Adams,2020-12-09,gender,Female,2654,39831
Adams,2020-12-09,gender,Male,2288,27645
