County,confirmed_cases,total_tested,probable_deaths,deaths,date
Chicago,89958,1382500,NA,3017,2020-10-19
Christian,771,13676,NA,25,2020-10-19
Clark,266,5459,NA,6,2020-10-19
Clay,281,4323,NA,11,2020-10-19
Clinton,1587,16475,NA,24,2020-10-19
Coles,1788,26919,NA,38,2020-10-19
Cook,75240,1196737,NA,2347,2020-10-19
Crawford,624,5532,NA,6,2020-10-19
Cumberland,253,4459,NA,6,2020-10-19
De Witt,227,5283,NA,3,2020-10-19
DeKalb,2095,41103,NA,42,2020-10-19
Douglas,545,10057,NA,8,2020-10-19
DuPage,20947,395509,NA,598,2020-10-19
Edgar,139,4429,NA,8,2020-10-19
Edwards,98,1027,NA,0,2020-10-19
Effingham,1090,14232,NA,3,2020-10-19
Fayette,630,7735,NA,19,2020-10-19
Ford,179,6394,NA,9,2020-10-19
Franklin,840,14915,NA,6,2020-10-19
Fulton,403,13591,NA,0,2020-10-19
Gallatin,105,993,NA,2,2020-10-19
Greene,269,4483,NA,15,2020-10-19
Grundy,877,13020,NA,7,2020-10-19
Hamilton,113,1883,NA,2,2020-10-19
Hancock,284,6526,NA,3,2020-10-19
Hardin,49,1241,NA,0,2020-10-19
Henderson,111,1713,NA,0,2020-10-19
Henry,794,19815,NA,5,2020-10-19
Illinois,347161,6824237,NA,9236,2020-10-19
Iroquois,451,13325,NA,19,2020-10-19
Jackson,1433,21691,NA,25,2020-10-19
Jasper,247,3228,NA,10,2020-10-19
Jefferson,858,12020,NA,44,2020-10-19
Jersey,456,7534,NA,21,2020-10-19
Jo Daviess,427,6859,NA,5,2020-10-19
Johnson,313,3562,NA,0,2020-10-19
Kane,15422,210089,NA,341,2020-10-19
Kankakee,3168,61179,NA,78,2020-10-19
Kendall,2470,41247,NA,27,2020-10-19
Knox,1096,21968,NA,9,2020-10-19
Lake,19546,301180,NA,503,2020-10-19
LaSalle,2184,36777,NA,60,2020-10-19
Lawrence,306,6289,NA,8,2020-10-19
Lee,612,9787,NA,1,2020-10-19
Livingston,549,16019,NA,10,2020-10-19
Logan,543,17337,NA,4,2020-10-19
Macon,2568,48447,NA,48,2020-10-19
Macoupin,731,21510,NA,9,2020-10-19
Madison,6795,93079,NA,152,2020-10-19
Marion,845,17251,NA,12,2020-10-19
Marshall,137,5396,NA,3,2020-10-19
Mason,235,5826,NA,1,2020-10-19
Massac,141,3257,NA,2,2020-10-19
McDonough,665,11001,NA,15,2020-10-19
McHenry,5642,93302,NA,120,2020-10-19
McLean,3867,92049,NA,30,2020-10-19
Menard,159,5656,NA,1,2020-10-19
Mercer,219,5903,NA,6,2020-10-19
Monroe,849,10268,NA,28,2020-10-19
Montgomery,548,16317,NA,15,2020-10-19
Morgan,796,15389,NA,24,2020-10-19
Moultrie,375,6335,NA,5,2020-10-19
Ogle,1052,18210,NA,7,2020-10-19
Out Of State,2,51943,NA,0,2020-10-19
Peoria,4243,104132,NA,62,2020-10-19
Perry,406,7322,NA,16,2020-10-19
Piatt,207,9861,NA,0,2020-10-19
Pike,260,4737,NA,4,2020-10-19
Pope,36,721,NA,1,2020-10-19
Pulaski,226,1872,NA,1,2020-10-19
Putnam,85,1479,NA,0,2020-10-19
Randolph,1145,14460,NA,14,2020-10-19
Richland,317,7488,NA,14,2020-10-19
Rock Island,3670,69660,NA,88,2020-10-19
Saline,503,7848,NA,7,2020-10-19
Sangamon,3475,124245,NA,54,2020-10-19
Schuyler,80,2171,NA,1,2020-10-19
Scott,93,2585,NA,0,2020-10-19
Shelby,586,8141,NA,8,2020-10-19
St. Clair,7559,99651,NA,213,2020-10-19
Stark,79,2499,NA,2,2020-10-19
Stephenson,814,15692,NA,7,2020-10-19
Tazewell,2405,70375,NA,47,2020-10-19
Unassigned,40,61578,NA,0,2020-10-19
Union,730,8018,NA,25,2020-10-19
Vermilion,1541,34373,NA,7,2020-10-19
Wabash,205,2795,NA,5,2020-10-19
Warren,451,5063,NA,7,2020-10-19
Washington,278,3844,NA,1,2020-10-19
Wayne,434,5241,NA,10,2020-10-19
White,235,6603,NA,1,2020-10-19
Whiteside,1152,18386,NA,22,2020-10-19
Will,16898,259134,NA,419,2020-10-19
Williamson,1709,30233,NA,58,2020-10-19
Winnebago,9114,124136,NA,165,2020-10-19
Woodford,543,15673,NA,11,2020-10-19
Adams,1585,36426,NA,15,2020-10-18
Alexander,107,2282,NA,1,2020-10-18
Bond,460,7279,NA,9,2020-10-18
Boone,1640,20145,NA,24,2020-10-18
Brown,96,1996,NA,0,2020-10-18
Bureau,842,11859,NA,17,2020-10-18
Calhoun,69,1533,NA,0,2020-10-18
Carroll,356,6231,NA,7,2020-10-18
Cass,449,5405,NA,11,2020-10-18
Champaign,5660,690428,NA,28,2020-10-18
Chicago,89392,1371308,NA,3016,2020-10-18
Christian,763,13553,NA,25,2020-10-18
Clark,253,5431,NA,6,2020-10-18
Clay,279,4304,NA,11,2020-10-18
Clinton,1560,16178,NA,24,2020-10-18
Coles,1774,26867,NA,38,2020-10-18
Cook,74520,1187934,NA,2341,2020-10-18
Crawford,615,5462,NA,6,2020-10-18
Cumberland,249,4451,NA,6,2020-10-18
De Witt,225,5240,NA,3,2020-10-18
DeKalb,2072,40563,NA,42,2020-10-18
Douglas,523,10001,NA,8,2020-10-18
DuPage,20724,392841,NA,596,2020-10-18
Edgar,138,4396,NA,8,2020-10-18
Edwards,98,1023,NA,0,2020-10-18
Effingham,1070,14114,NA,3,2020-10-18
Fayette,619,7699,NA,17,2020-10-18
Ford,179,6304,NA,9,2020-10-18
Franklin,834,14848,NA,6,2020-10-18
Fulton,391,13531,NA,0,2020-10-18
Gallatin,103,989,NA,2,2020-10-18
Greene,264,4449,NA,15,2020-10-18
Grundy,859,12908,NA,7,2020-10-18
Hamilton,109,1869,NA,2,2020-10-18
Hancock,279,6490,NA,3,2020-10-18
Hardin,49,1236,NA,0,2020-10-18
Henderson,108,1692,NA,0,2020-10-18
Henry,790,19716,NA,5,2020-10-18
Illinois,344048,6775553,NA,9214,2020-10-18
Iroquois,449,13260,NA,19,2020-10-18
Jackson,1428,21627,NA,25,2020-10-18
Jasper,240,3216,NA,10,2020-10-18
Jefferson,852,11932,NA,44,2020-10-18
Jersey,453,7403,NA,21,2020-10-18
Jo Daviess,416,6749,NA,5,2020-10-18
Johnson,311,3541,NA,0,2020-10-18
Kane,15234,208354,NA,341,2020-10-18
Kankakee,3143,60685,NA,78,2020-10-18
Kendall,2441,40974,NA,27,2020-10-18
Knox,1076,21764,NA,9,2020-10-18
Lake,19438,299349,NA,503,2020-10-18
LaSalle,2157,36536,NA,59,2020-10-18
Lawrence,306,6221,NA,8,2020-10-18
Lee,592,9671,NA,1,2020-10-18
Livingston,538,15743,NA,9,2020-10-18
Logan,538,17234,NA,4,2020-10-18
Macon,2512,48061,NA,48,2020-10-18
Macoupin,722,21410,NA,9,2020-10-18
Madison,6748,92443,NA,152,2020-10-18
Marion,829,17147,NA,12,2020-10-18
Marshall,135,5366,NA,3,2020-10-18
Mason,232,5795,NA,1,2020-10-18
Massac,139,3239,NA,2,2020-10-18
McDonough,654,10893,NA,15,2020-10-18
McHenry,5583,92335,NA,120,2020-10-18
McLean,3849,91659,NA,30,2020-10-18
Menard,159,5617,NA,1,2020-10-18
Mercer,213,5847,NA,6,2020-10-18
Monroe,842,10144,NA,27,2020-10-18
Montgomery,545,16250,NA,14,2020-10-18
Morgan,792,15134,NA,24,2020-10-18
Moultrie,360,6273,NA,5,2020-10-18
Ogle,1030,18088,NA,7,2020-10-18
Out Of State,1,51771,NA,0,2020-10-18
Peoria,4207,103676,NA,61,2020-10-18
Perry,403,7299,NA,16,2020-10-18
Piatt,205,9782,NA,0,2020-10-18
Pike,249,4698,NA,4,2020-10-18
Pope,36,717,NA,1,2020-10-18
Pulaski,226,1848,NA,1,2020-10-18
Putnam,83,1461,NA,0,2020-10-18
Randolph,1141,14405,NA,14,2020-10-18
Richland,316,7477,NA,14,2020-10-18
Rock Island,3641,69286,NA,88,2020-10-18
Saline,497,7834,NA,7,2020-10-18
Sangamon,3444,123373,NA,54,2020-10-18
Schuyler,79,2162,NA,1,2020-10-18
Scott,93,2575,NA,0,2020-10-18
Shelby,580,8103,NA,8,2020-10-18
St. Clair,7512,98721,NA,213,2020-10-18
Stark,78,2485,NA,2,2020-10-18
Stephenson,780,15203,NA,7,2020-10-18
Tazewell,2386,70149,NA,47,2020-10-18
Unassigned,46,61504,NA,0,2020-10-18
Union,725,7968,NA,25,2020-10-18
Vermilion,1513,34064,NA,7,2020-10-18
Wabash,203,2793,NA,5,2020-10-18
Warren,450,5019,NA,7,2020-10-18
Washington,275,3821,NA,1,2020-10-18
Wayne,432,5227,NA,9,2020-10-18
White,237,6573,NA,1,2020-10-18
Whiteside,1134,18099,NA,21,2020-10-18
Will,16748,257337,NA,418,2020-10-18
Williamson,1696,30141,NA,57,2020-10-18
Winnebago,9027,123341,NA,165,2020-10-18
Woodford,542,15631,NA,10,2020-10-18
Adams,1542,36228,NA,14,2020-10-17
Alexander,105,2264,NA,1,2020-10-17
Bond,440,7197,NA,9,2020-10-17
Boone,1596,19741,NA,24,2020-10-17
Brown,93,1969,NA,0,2020-10-17
Bureau,832,11801,NA,17,2020-10-17
Calhoun,70,1528,NA,0,2020-10-17
Carroll,350,6129,NA,7,2020-10-17
Cass,447,5371,NA,11,2020-10-17
Champaign,5634,682978,NA,28,2020-10-17
Chicago,88460,1354622,NA,3013,2020-10-17
Christian,750,13436,NA,25,2020-10-17
Clark,251,5365,NA,6,2020-10-17
Clay,272,4228,NA,11,2020-10-17
Clinton,1541,16009,NA,24,2020-10-17
Coles,1759,26357,NA,38,2020-10-17
Cook,73760,1173209,NA,2337,2020-10-17
Crawford,609,5330,NA,6,2020-10-17
Cumberland,247,4434,NA,6,2020-10-17
De Witt,222,5124,NA,3,2020-10-17
DeKalb,2037,40138,NA,42,2020-10-17
Douglas,512,9814,NA,8,2020-10-17
DuPage,20477,387387,NA,596,2020-10-17
Edgar,137,4358,NA,8,2020-10-17
Edwards,97,1011,NA,0,2020-10-17
Effingham,1057,14057,NA,3,2020-10-17
Fayette,615,7605,NA,17,2020-10-17
Ford,163,6127,NA,9,2020-10-17
Franklin,813,14643,NA,6,2020-10-17
Fulton,372,13377,NA,0,2020-10-17
Gallatin,103,982,NA,2,2020-10-17
Greene,261,4422,NA,15,2020-10-17
Grundy,846,12764,NA,7,2020-10-17
Hamilton,106,1836,NA,2,2020-10-17
Hancock,276,6433,NA,3,2020-10-17
Hardin,49,1230,NA,0,2020-10-17
Henderson,101,1644,NA,0,2020-10-17
Henry,787,19521,NA,5,2020-10-17
Illinois,339803,6696257,NA,9192,2020-10-17
Iroquois,445,13056,NA,19,2020-10-17
Jackson,1415,21409,NA,25,2020-10-17
Jasper,239,3192,NA,10,2020-10-17
Jefferson,847,11859,NA,44,2020-10-17
Jersey,448,7365,NA,21,2020-10-17
Jo Daviess,401,6550,NA,5,2020-10-17
Johnson,308,3435,NA,0,2020-10-17
Kane,15091,206343,NA,340,2020-10-17
Kankakee,3102,60125,NA,78,2020-10-17
Kendall,2417,40443,NA,27,2020-10-17
Knox,1054,21570,NA,9,2020-10-17
Lake,19252,294811,NA,501,2020-10-17
LaSalle,2128,36062,NA,59,2020-10-17
Lawrence,304,6125,NA,8,2020-10-17
Lee,564,9476,NA,1,2020-10-17
Livingston,529,15443,NA,9,2020-10-17
Logan,529,17128,NA,4,2020-10-17
Macon,2429,47420,NA,48,2020-10-17
Macoupin,709,21233,NA,8,2020-10-17
Madison,6685,91412,NA,152,2020-10-17
Marion,823,16861,NA,12,2020-10-17
Marshall,132,5329,NA,3,2020-10-17
Mason,228,5695,NA,1,2020-10-17
Massac,138,3167,NA,2,2020-10-17
McDonough,635,10727,NA,15,2020-10-17
McHenry,5485,91410,NA,120,2020-10-17
McLean,3834,90548,NA,30,2020-10-17
Menard,159,5587,NA,1,2020-10-17
Mercer,210,5726,NA,6,2020-10-17
Monroe,835,10086,NA,27,2020-10-17
Montgomery,526,15971,NA,14,2020-10-17
Morgan,787,15032,NA,24,2020-10-17
Moultrie,349,6215,NA,5,2020-10-17
Ogle,1011,17767,NA,7,2020-10-17
Out Of State,1,51496,NA,0,2020-10-17
Peoria,4166,102962,NA,59,2020-10-17
Perry,401,7247,NA,16,2020-10-17
Piatt,198,9699,NA,0,2020-10-17
Pike,237,4575,NA,2,2020-10-17
Pope,36,704,NA,1,2020-10-17
Pulaski,223,1819,NA,1,2020-10-17
Putnam,82,1454,NA,0,2020-10-17
Randolph,1130,14302,NA,14,2020-10-17
Richland,309,7438,NA,14,2020-10-17
Rock Island,3584,68550,NA,88,2020-10-17
Saline,479,7763,NA,7,2020-10-17
Sangamon,3350,122406,NA,54,2020-10-17
Schuyler,79,2158,NA,1,2020-10-17
Scott,88,2563,NA,0,2020-10-17
Shelby,565,8025,NA,8,2020-10-17
St. Clair,7460,97887,NA,211,2020-10-17
Stark,78,2430,NA,2,2020-10-17
Stephenson,749,14943,NA,7,2020-10-17
Tazewell,2374,69603,NA,46,2020-10-17
Unassigned,37,61354,NA,0,2020-10-17
Union,719,7869,NA,25,2020-10-17
Vermilion,1479,33650,NA,7,2020-10-17
Wabash,201,2749,NA,5,2020-10-17
Warren,443,4924,NA,6,2020-10-17
Washington,271,3789,NA,1,2020-10-17
Wayne,429,5137,NA,9,2020-10-17
White,231,6512,NA,1,2020-10-17
Whiteside,1100,17832,NA,21,2020-10-17
Will,16481,253913,NA,418,2020-10-17
Williamson,1668,29887,NA,57,2020-10-17
Winnebago,8773,120632,NA,163,2020-10-17
Woodford,541,15421,NA,10,2020-10-17
Adams,1525,36059,NA,14,2020-10-16
Alexander,105,2253,NA,1,2020-10-16
Bond,432,7098,NA,9,2020-10-16
Boone,1562,19465,NA,24,2020-10-16
Brown,94,1933,NA,0,2020-10-16
Bureau,827,11679,NA,16,2020-10-16
Calhoun,67,1497,NA,0,2020-10-16
Carroll,336,6036,NA,7,2020-10-16
Cass,445,5330,NA,11,2020-10-16
Champaign,5596,674651,NA,28,2020-10-16
Chicago,87575,1340053,NA,3007,2020-10-16
Christian,747,13375,NA,25,2020-10-16
Clark,247,5284,NA,6,2020-10-16
Clay,268,4182,NA,11,2020-10-16
Clinton,1515,15826,NA,23,2020-10-16
Coles,1730,25877,NA,38,2020-10-16
Cook,73070,1158181,NA,2332,2020-10-16
Crawford,608,5303,NA,6,2020-10-16
Cumberland,246,4431,NA,5,2020-10-16
De Witt,219,5077,NA,3,2020-10-16
DeKalb,2006,39352,NA,42,2020-10-16
Douglas,470,9661,NA,8,2020-10-16
DuPage,20277,383286,NA,595,2020-10-16
Edgar,136,4340,NA,8,2020-10-16
Edwards,93,1002,NA,0,2020-10-16
Effingham,1044,13968,NA,3,2020-10-16
Fayette,597,7516,NA,17,2020-10-16
Ford,162,5982,NA,9,2020-10-16
Franklin,801,14498,NA,6,2020-10-16
Fulton,364,13228,NA,0,2020-10-16
Gallatin,101,968,NA,2,2020-10-16
Greene,260,4402,NA,15,2020-10-16
Grundy,838,12561,NA,7,2020-10-16
Hamilton,103,1793,NA,2,2020-10-16
Hancock,270,6367,NA,3,2020-10-16
Hardin,49,1221,NA,0,2020-10-16
Henderson,95,1592,NA,0,2020-10-16
Henry,785,19200,NA,5,2020-10-16
Illinois,336174,6618768,NA,9165,2020-10-16
Iroquois,439,12799,NA,19,2020-10-16
Jackson,1410,21281,NA,25,2020-10-16
Jasper,237,3165,NA,10,2020-10-16
Jefferson,840,11732,NA,43,2020-10-16
Jersey,446,7321,NA,21,2020-10-16
Jo Daviess,392,6487,NA,5,2020-10-16
Johnson,298,3406,NA,0,2020-10-16
Kane,14925,204286,NA,338,2020-10-16
Kankakee,3089,59767,NA,78,2020-10-16
Kendall,2382,40034,NA,27,2020-10-16
Knox,1029,21249,NA,9,2020-10-16
Lake,19077,291830,NA,501,2020-10-16
LaSalle,2100,35652,NA,58,2020-10-16
Lawrence,302,6084,NA,8,2020-10-16
Lee,562,9393,NA,1,2020-10-16
Livingston,517,14755,NA,9,2020-10-16
Logan,526,17045,NA,4,2020-10-16
Macon,2371,46679,NA,48,2020-10-16
Macoupin,703,21124,NA,8,2020-10-16
Madison,6650,90444,NA,152,2020-10-16
Marion,814,16615,NA,11,2020-10-16
Marshall,132,5297,NA,3,2020-10-16
Mason,225,5593,NA,1,2020-10-16
Massac,136,3151,NA,2,2020-10-16
McDonough,621,10397,NA,15,2020-10-16
McHenry,5396,90441,NA,120,2020-10-16
McLean,3815,89664,NA,30,2020-10-16
Menard,156,5518,NA,1,2020-10-16
Mercer,205,5670,NA,6,2020-10-16
Monroe,829,9768,NA,27,2020-10-16
Montgomery,511,15876,NA,14,2020-10-16
Morgan,786,14998,NA,24,2020-10-16
Moultrie,333,6183,NA,5,2020-10-16
Ogle,1001,17580,NA,7,2020-10-16
Out Of State,2,51177,NA,0,2020-10-16
Peoria,4136,102212,NA,59,2020-10-16
Perry,394,7198,NA,16,2020-10-16
Piatt,195,9579,NA,0,2020-10-16
Pike,230,4529,NA,2,2020-10-16
Pope,36,698,NA,1,2020-10-16
Pulaski,218,1783,NA,1,2020-10-16
Putnam,81,1438,NA,0,2020-10-16
Randolph,1107,14073,NA,14,2020-10-16
Richland,306,7371,NA,14,2020-10-16
Rock Island,3544,68062,NA,87,2020-10-16
Saline,468,7712,NA,7,2020-10-16
Sangamon,3293,121331,NA,54,2020-10-16
Schuyler,78,2145,NA,1,2020-10-16
Scott,88,2553,NA,0,2020-10-16
Shelby,563,7986,NA,8,2020-10-16
St. Clair,7430,96911,NA,210,2020-10-16
Stark,78,2350,NA,2,2020-10-16
Stephenson,746,14813,NA,7,2020-10-16
Tazewell,2334,69014,NA,45,2020-10-16
Unassigned,36,61194,NA,0,2020-10-16
Union,713,7728,NA,25,2020-10-16
Vermilion,1444,33195,NA,7,2020-10-16
Wabash,200,2740,NA,5,2020-10-16
Warren,432,4821,NA,6,2020-10-16
Washington,271,3767,NA,1,2020-10-16
Wayne,422,5116,NA,9,2020-10-16
White,228,6477,NA,1,2020-10-16
Whiteside,1087,17640,NA,21,2020-10-16
Will,16321,251393,NA,414,2020-10-16
Williamson,1655,29716,NA,57,2020-10-16
Winnebago,8580,118934,NA,163,2020-10-16
Woodford,534,15226,NA,10,2020-10-16
Adams,1488,35653,NA,14,2020-10-15
Alexander,105,2236,NA,1,2020-10-15
Bond,417,7039,NA,9,2020-10-15
Boone,1527,19255,NA,24,2020-10-15
Brown,87,1914,NA,0,2020-10-15
Bureau,821,11377,NA,16,2020-10-15
Calhoun,66,1455,NA,0,2020-10-15
Carroll,328,5900,NA,7,2020-10-15
Cass,442,5297,NA,11,2020-10-15
Champaign,5559,660867,NA,28,2020-10-15
Chicago,86801,1325450,NA,3003,2020-10-15
Christian,739,13254,NA,23,2020-10-15
Clark,241,5243,NA,6,2020-10-15
Clay,262,4140,NA,9,2020-10-15
Clinton,1480,15651,NA,23,2020-10-15
Coles,1694,25635,NA,38,2020-10-15
Cook,72234,1143544,NA,2329,2020-10-15
Crawford,604,5172,NA,6,2020-10-15
Cumberland,244,4380,NA,5,2020-10-15
De Witt,219,4997,NA,3,2020-10-15
DeKalb,1984,38768,NA,42,2020-10-15
Douglas,447,9393,NA,8,2020-10-15
DuPage,19967,378456,NA,592,2020-10-15
Edgar,135,4315,NA,8,2020-10-15
Edwards,87,990,NA,0,2020-10-15
Effingham,1028,13708,NA,3,2020-10-15
Fayette,589,7461,NA,16,2020-10-15
Ford,162,5898,NA,7,2020-10-15
Franklin,779,14201,NA,6,2020-10-15
Fulton,344,12872,NA,0,2020-10-15
Gallatin,100,958,NA,2,2020-10-15
Greene,253,4367,NA,15,2020-10-15
Grundy,820,12415,NA,7,2020-10-15
Hamilton,101,1776,NA,2,2020-10-15
Hancock,264,6268,NA,3,2020-10-15
Hardin,48,1214,NA,0,2020-10-15
Henderson,93,1577,NA,0,2020-10-15
Henry,775,18998,NA,5,2020-10-15
Illinois,331620,6531009,NA,9127,2020-10-15
Iroquois,436,12673,NA,19,2020-10-15
Jackson,1392,21043,NA,25,2020-10-15
Jasper,234,3118,NA,10,2020-10-15
Jefferson,834,11565,NA,41,2020-10-15
Jersey,438,7247,NA,21,2020-10-15
Jo Daviess,381,6455,NA,3,2020-10-15
Johnson,289,3366,NA,0,2020-10-15
Kane,14702,202060,NA,338,2020-10-15
Kankakee,3051,58879,NA,78,2020-10-15
Kendall,2349,39546,NA,27,2020-10-15
Knox,982,20847,NA,9,2020-10-15
Lake,18859,288461,NA,499,2020-10-15
LaSalle,2069,35318,NA,58,2020-10-15
Lawrence,296,6047,NA,7,2020-10-15
Lee,549,9079,NA,1,2020-10-15
Livingston,499,14549,NA,9,2020-10-15
Logan,525,16820,NA,4,2020-10-15
Macon,2273,45473,NA,48,2020-10-15
Macoupin,685,20967,NA,8,2020-10-15
Madison,6565,89262,NA,150,2020-10-15
Marion,807,16299,NA,11,2020-10-15
Marshall,129,5223,NA,3,2020-10-15
Mason,217,5471,NA,1,2020-10-15
Massac,135,3133,NA,2,2020-10-15
McDonough,598,10234,NA,15,2020-10-15
McHenry,5310,89420,NA,119,2020-10-15
McLean,3779,88914,NA,30,2020-10-15
Menard,152,5456,NA,1,2020-10-15
Mercer,195,5578,NA,6,2020-10-15
Monroe,819,9660,NA,27,2020-10-15
Montgomery,506,15727,NA,14,2020-10-15
Morgan,769,14841,NA,24,2020-10-15
Moultrie,319,6119,NA,5,2020-10-15
Ogle,964,17274,NA,6,2020-10-15
Out Of State,2,50909,NA,0,2020-10-15
Peoria,4069,101344,NA,59,2020-10-15
Perry,387,7138,NA,16,2020-10-15
Piatt,187,9285,NA,0,2020-10-15
Pike,209,4350,NA,2,2020-10-15
Pope,36,691,NA,1,2020-10-15
Pulaski,218,1759,NA,1,2020-10-15
Putnam,75,1409,NA,0,2020-10-15
Randolph,1090,13823,NA,14,2020-10-15
Richland,298,7177,NA,12,2020-10-15
Rock Island,3483,67388,NA,86,2020-10-15
Saline,463,7665,NA,7,2020-10-15
Sangamon,3204,119695,NA,53,2020-10-15
Schuyler,75,2128,NA,1,2020-10-15
Scott,88,2518,NA,0,2020-10-15
Shelby,539,7904,NA,8,2020-10-15
St. Clair,7382,95523,NA,208,2020-10-15
Stark,74,2328,NA,2,2020-10-15
Stephenson,732,14699,NA,7,2020-10-15
Tazewell,2247,68268,NA,45,2020-10-15
Unassigned,32,60849,NA,0,2020-10-15
Union,695,7650,NA,25,2020-10-15
Vermilion,1406,32794,NA,7,2020-10-15
Wabash,190,2682,NA,5,2020-10-15
Warren,428,4765,NA,6,2020-10-15
Washington,269,3724,NA,1,2020-10-15
Wayne,411,5088,NA,8,2020-10-15
White,223,6110,NA,1,2020-10-15
Whiteside,1064,17315,NA,21,2020-10-15
Will,16074,248258,NA,412,2020-10-15
Williamson,1621,29458,NA,56,2020-10-15
Winnebago,8397,117436,NA,163,2020-10-15
Woodford,504,15037,NA,10,2020-10-15
Adams,1458,35251,NA,13,2020-10-14
Alexander,102,2221,NA,1,2020-10-14
Bond,405,6994,NA,9,2020-10-14
Boone,1491,19033,NA,24,2020-10-14
Brown,82,1845,NA,0,2020-10-14
Bureau,799,11211,NA,15,2020-10-14
Calhoun,66,1449,NA,0,2020-10-14
Carroll,293,5728,NA,6,2020-10-14
Cass,435,5235,NA,11,2020-10-14
Champaign,5525,652101,NA,27,2020-10-14
Chicago,86092,1316726,NA,2999,2020-10-14
Christian,724,13103,NA,22,2020-10-14
Clark,240,5222,NA,4,2020-10-14
Clay,259,4099,NA,6,2020-10-14
Clinton,1452,15482,NA,23,2020-10-14
Coles,1676,25504,NA,38,2020-10-14
Cook,71481,1133906,NA,2322,2020-10-14
Crawford,589,5142,NA,6,2020-10-14
Cumberland,241,4357,NA,5,2020-10-14
De Witt,209,4842,NA,3,2020-10-14
DeKalb,1941,38052,NA,42,2020-10-14
Douglas,420,9278,NA,8,2020-10-14
DuPage,19767,376290,NA,588,2020-10-14
Edgar,133,4293,NA,8,2020-10-14
Edwards,84,981,NA,0,2020-10-14
Effingham,1014,13612,NA,3,2020-10-14
Fayette,574,7373,NA,15,2020-10-14
Ford,159,5831,NA,7,2020-10-14
Franklin,711,13822,NA,6,2020-10-14
Fulton,321,12396,NA,0,2020-10-14
Gallatin,94,941,NA,2,2020-10-14
Greene,250,4331,NA,15,2020-10-14
Grundy,808,12296,NA,7,2020-10-14
Hamilton,97,1758,NA,2,2020-10-14
Hancock,259,6201,NA,3,2020-10-14
Hardin,47,1205,NA,0,2020-10-14
Henderson,93,1556,NA,0,2020-10-14
Henry,764,18878,NA,5,2020-10-14
Illinois,327605,6463923,NA,9074,2020-10-14
Iroquois,431,12536,NA,19,2020-10-14
Jackson,1367,20825,NA,24,2020-10-14
Jasper,231,3106,NA,10,2020-10-14
Jefferson,804,11387,NA,40,2020-10-14
Jersey,435,7215,NA,21,2020-10-14
Jo Daviess,374,6391,NA,3,2020-10-14
Johnson,279,3282,NA,0,2020-10-14
Kane,14558,200385,NA,336,2020-10-14
Kankakee,3019,58426,NA,78,2020-10-14
Kendall,2315,39305,NA,26,2020-10-14
Knox,937,20545,NA,8,2020-10-14
Lake,18633,285735,NA,499,2020-10-14
LaSalle,2041,34914,NA,58,2020-10-14
Lawrence,293,5893,NA,6,2020-10-14
Lee,525,8981,NA,1,2020-10-14
Livingston,489,14441,NA,9,2020-10-14
Logan,518,16511,NA,4,2020-10-14
Macon,2190,44969,NA,48,2020-10-14
Macoupin,664,20794,NA,8,2020-10-14
Madison,6499,88581,NA,150,2020-10-14
Marion,774,15704,NA,8,2020-10-14
Marshall,129,5089,NA,3,2020-10-14
Mason,215,5390,NA,1,2020-10-14
Massac,133,3108,NA,2,2020-10-14
McDonough,577,9966,NA,15,2020-10-14
McHenry,5248,88613,NA,119,2020-10-14
McLean,3746,87907,NA,29,2020-10-14
Menard,152,5420,NA,1,2020-10-14
Mercer,191,5513,NA,6,2020-10-14
Monroe,810,9612,NA,27,2020-10-14
Montgomery,496,15270,NA,14,2020-10-14
Morgan,762,14732,NA,24,2020-10-14
Moultrie,295,5898,NA,4,2020-10-14
Ogle,950,17089,NA,6,2020-10-14
Out Of State,1,50591,NA,0,2020-10-14
Peoria,4030,100509,NA,58,2020-10-14
Perry,382,7077,NA,16,2020-10-14
Piatt,183,9135,NA,0,2020-10-14
Pike,207,4315,NA,2,2020-10-14
Pope,36,684,NA,1,2020-10-14
Pulaski,218,1750,NA,1,2020-10-14
Putnam,75,1389,NA,0,2020-10-14
Randolph,1075,13645,NA,14,2020-10-14
Richland,296,7142,NA,11,2020-10-14
Rock Island,3446,66954,NA,85,2020-10-14
Saline,457,7604,NA,6,2020-10-14
Sangamon,3154,118538,NA,53,2020-10-14
Schuyler,74,2112,NA,1,2020-10-14
Scott,84,2438,NA,0,2020-10-14
Shelby,533,7778,NA,7,2020-10-14
St. Clair,7330,94489,NA,207,2020-10-14
Stark,72,2311,NA,2,2020-10-14
Stephenson,712,14593,NA,7,2020-10-14
Tazewell,2215,67492,NA,44,2020-10-14
Unassigned,33,60640,NA,0,2020-10-14
Union,683,7540,NA,25,2020-10-14
Vermilion,1361,32278,NA,7,2020-10-14
Wabash,189,2670,NA,4,2020-10-14
Warren,414,4689,NA,6,2020-10-14
Washington,265,3676,NA,1,2020-10-14
Wayne,397,5013,NA,7,2020-10-14
White,210,6076,NA,1,2020-10-14
Whiteside,1040,17069,NA,21,2020-10-14
Will,15888,246331,NA,408,2020-10-14
Williamson,1601,29163,NA,56,2020-10-14
Winnebago,8207,115795,NA,161,2020-10-14
Woodford,496,14927,NA,10,2020-10-14
Adams,1432,34791,NA,11,2020-10-13
Alexander,101,2203,NA,1,2020-10-13
