County,confirmed_cases,total_tested,probable_deaths,deaths,date
Rock Island,12638,150146,43,278,2021-02-08
Saline,2209,25833,17,43,2021-02-08
Sangamon,15605,282712,40,212,2021-02-08
Schuyler,664,9522,12,5,2021-02-08
Scott,441,6785,0,1,2021-02-08
Shelby,2074,20010,3,33,2021-02-08
St. Clair,24386,274703,48,439,2021-02-08
Stark,515,7070,0,22,2021-02-08
Stephenson,3832,43564,19,67,2021-02-08
Tazewell,12956,167156,36,229,2021-02-08
Unassigned,51,97888,0,0,2021-02-08
Union,2149,26805,6,31,2021-02-08
Vermilion,8232,100471,17,109,2021-02-08
Wabash,1280,11315,5,12,2021-02-08
Warren,1646,14031,4,43,2021-02-08
Washington,1550,10503,6,22,2021-02-08
Wayne,1631,13217,2,44,2021-02-08
White,1551,19333,10,23,2021-02-08
Whiteside,5682,52090,43,140,2021-02-08
Will,62566,660642,77,860,2021-02-08
Williamson,6633,79840,12,115,2021-02-08
Winnebago,27671,301216,31,411,2021-02-08
Woodford,3526,50992,13,59,2021-02-08
Adams,7807,117085,31,109,2021-02-07
Alexander,426,4620,0,8,2021-02-07
Bond,1831,20923,6,22,2021-02-07
Boone,5795,47982,12,73,2021-02-07
Brown,647,19546,6,6,2021-02-07
Bureau,3174,33346,14,73,2021-02-07
Calhoun,467,4746,3,2,2021-02-07
Carroll,1523,16470,1,32,2021-02-07
Cass,1848,16244,9,22,2021-02-07
Champaign,16886,1552173,7,109,2021-02-07
Chicago,238022,3106816,243,4713,2021-02-07
Christian,3193,38448,18,62,2021-02-07
Clark,1620,12903,8,28,2021-02-07
Clay,1399,12797,4,39,2021-02-07
Clinton,5456,49137,9,85,2021-02-07
Coles,4986,60028,2,88,2021-02-07
Cook,222532,2838145,333,4293,2021-02-07
Crawford,1946,27584,16,21,2021-02-07
Cumberland,1142,9661,12,17,2021-02-07
De Witt,1230,16378,8,22,2021-02-07
DeKalb,7975,100542,6,106,2021-02-07
Douglas,2172,24611,6,29,2021-02-07
DuPage,73692,965491,82,1132,2021-02-07
Edgar,1522,11989,21,36,2021-02-07
Edwards,509,3410,1,8,2021-02-07
Effingham,4426,35029,12,68,2021-02-07
Fayette,3039,23702,4,52,2021-02-07
Ford,1480,22371,9,43,2021-02-07
Franklin,4049,40037,13,63,2021-02-07
Fulton,2747,60214,8,44,2021-02-07
Gallatin,419,3353,1,3,2021-02-07
Greene,1343,11631,15,30,2021-02-07
Grundy,4800,40882,6,58,2021-02-07
Hamilton,759,5803,3,14,2021-02-07
Hancock,1614,15271,11,27,2021-02-07
Hardin,329,4264,0,10,2021-02-07
Henderson,487,5741,9,8,2021-02-07
Henry,4223,53738,29,53,2021-02-07
Illinois,1146341,16636585,2105,19633,2021-02-07
Iroquois,2710,36954,2,59,2021-02-07
Jackson,4494,60082,12,60,2021-02-07
Jasper,1090,9567,2,17,2021-02-07
Jefferson,3842,38139,1,111,2021-02-07
Jersey,2408,24744,20,44,2021-02-07
Jo Daviess,1571,17421,4,22,2021-02-07
Johnson,1321,27131,6,10,2021-02-07
Kane,49017,501571,55,692,2021-02-07
Kankakee,12036,170292,8,186,2021-02-07
Kendall,10576,100674,9,80,2021-02-07
Knox,4846,68868,33,120,2021-02-07
Lake,57123,726212,80,891,2021-02-07
LaSalle,10286,127660,56,205,2021-02-07
Lawrence,2251,27622,9,23,2021-02-07
Lee,3246,50489,41,42,2021-02-07
Livingston,4015,68309,13,69,2021-02-07
Logan,3256,60384,13,50,2021-02-07
Macon,9254,128540,11,178,2021-02-07
Macoupin,4213,56091,32,73,2021-02-07
Madison,26839,244281,81,438,2021-02-07
Marion,4211,58700,7,109,2021-02-07
Marshall,796,14917,2,14,2021-02-07
Mason,1252,17079,1,41,2021-02-07
Massac,1194,9113,4,30,2021-02-07
McDonough,2268,35231,12,39,2021-02-07
McHenry,23253,245357,28,254,2021-02-07
McLean,14154,232324,36,146,2021-02-07
Menard,997,14799,5,6,2021-02-07
Mercer,1231,14019,0,31,2021-02-07
Monroe,3917,33237,0,75,2021-02-07
Montgomery,3325,51168,7,66,2021-02-07
Morgan,3441,44041,21,74,2021-02-07
Moultrie,1457,18891,8,21,2021-02-07
Ogle,4859,46652,8,69,2021-02-07
Out Of State,0,102937,0,0,2021-02-07
Peoria,16205,237079,18,247,2021-02-07
Perry,2954,31415,10,56,2021-02-07
Piatt,1266,24432,7,13,2021-02-07
Pike,1651,14555,3,48,2021-02-07
Pope,273,2350,1,3,2021-02-07
Pulaski,657,4994,0,4,2021-02-07
Putnam,384,4558,1,3,2021-02-07
Randolph,3903,41486,7,74,2021-02-07
Richland,1615,20055,9,37,2021-02-07
Rock Island,12618,149169,43,278,2021-02-07
Saline,2204,25800,17,43,2021-02-07
Sangamon,15555,282004,40,212,2021-02-07
Schuyler,664,9517,12,5,2021-02-07
Scott,440,6779,0,1,2021-02-07
Shelby,2075,19979,3,33,2021-02-07
St. Clair,24336,272496,48,439,2021-02-07
Stark,515,7065,0,22,2021-02-07
Stephenson,3824,43405,19,67,2021-02-07
Tazewell,12927,166907,36,229,2021-02-07
Unassigned,59,97790,0,0,2021-02-07
Union,2149,26790,6,31,2021-02-07
Vermilion,8217,100226,17,109,2021-02-07
Wabash,1280,11302,5,12,2021-02-07
Warren,1645,14007,4,43,2021-02-07
Washington,1548,10463,6,21,2021-02-07
Wayne,1625,13186,2,44,2021-02-07
White,1549,19321,10,23,2021-02-07
Whiteside,5681,52017,43,139,2021-02-07
Will,62435,657594,77,860,2021-02-07
Williamson,6622,79610,12,115,2021-02-07
Winnebago,27647,300175,31,410,2021-02-07
Woodford,3521,50911,13,59,2021-02-07
Adams,7806,116697,31,109,2021-02-06
Alexander,426,4609,0,8,2021-02-06
Bond,1829,20809,6,21,2021-02-06
Boone,5782,47801,12,73,2021-02-06
Brown,647,19543,6,6,2021-02-06
Bureau,3174,33250,14,73,2021-02-06
Calhoun,462,4724,3,2,2021-02-06
Carroll,1522,16420,1,32,2021-02-06
Cass,1848,16189,9,22,2021-02-06
Champaign,16799,1539937,7,108,2021-02-06
Chicago,237606,3093856,243,4705,2021-02-06
Christian,3185,37723,18,62,2021-02-06
Clark,1619,12780,8,28,2021-02-06
Clay,1398,12752,4,39,2021-02-06
Clinton,5449,48694,9,85,2021-02-06
Coles,4977,59785,2,88,2021-02-06
Cook,222134,2824649,333,4291,2021-02-06
Crawford,1944,27374,16,21,2021-02-06
Cumberland,1140,9626,12,16,2021-02-06
De Witt,1216,16299,8,22,2021-02-06
DeKalb,7958,100125,6,106,2021-02-06
Douglas,2171,24497,6,29,2021-02-06
DuPage,73602,960601,82,1128,2021-02-06
Edgar,1522,11964,21,36,2021-02-06
Edwards,507,3406,1,8,2021-02-06
Effingham,4424,34943,12,68,2021-02-06
Fayette,3037,23598,4,52,2021-02-06
Ford,1476,22326,9,43,2021-02-06
Franklin,4040,39832,13,63,2021-02-06
Fulton,2744,59993,8,44,2021-02-06
Gallatin,418,3334,1,3,2021-02-06
Greene,1343,11575,15,30,2021-02-06
Grundy,4785,40658,6,57,2021-02-06
Hamilton,758,5762,3,14,2021-02-06
Hancock,1613,15232,11,27,2021-02-06
Hardin,327,4226,0,10,2021-02-06
Henderson,487,5726,9,8,2021-02-06
Henry,4222,53625,29,53,2021-02-06
Illinois,1144281,16555035,2091,19585,2021-02-06
Iroquois,2708,36904,2,58,2021-02-06
Jackson,4488,59808,12,60,2021-02-06
Jasper,1090,9528,2,17,2021-02-06
Jefferson,3836,37861,1,111,2021-02-06
Jersey,2405,24695,20,44,2021-02-06
Jo Daviess,1570,17402,3,22,2021-02-06
Johnson,1321,26150,6,10,2021-02-06
Kane,48937,499518,55,690,2021-02-06
Kankakee,12023,169922,8,185,2021-02-06
Kendall,10557,100182,9,80,2021-02-06
Knox,4840,68726,33,119,2021-02-06
Lake,57032,722693,79,889,2021-02-06
LaSalle,10264,126396,56,203,2021-02-06
Lawrence,2250,27594,9,23,2021-02-06
Lee,3245,50404,41,41,2021-02-06
Livingston,4005,68085,13,69,2021-02-06
Logan,3255,60302,13,50,2021-02-06
Macon,9239,127567,10,178,2021-02-06
Macoupin,4211,55921,30,73,2021-02-06
Madison,26763,243048,79,437,2021-02-06
Marion,4209,57751,7,108,2021-02-06
Marshall,795,14882,2,14,2021-02-06
Mason,1249,17018,1,41,2021-02-06
Massac,1191,9046,4,30,2021-02-06
McDonough,2268,35179,12,39,2021-02-06
McHenry,23215,244377,28,252,2021-02-06
McLean,14132,231543,36,146,2021-02-06
Menard,993,14750,4,6,2021-02-06
Mercer,1231,13973,0,31,2021-02-06
Monroe,3909,33157,0,75,2021-02-06
Montgomery,3321,50201,7,66,2021-02-06
Morgan,3428,43729,21,74,2021-02-06
Moultrie,1454,18847,8,21,2021-02-06
Ogle,4855,46549,8,67,2021-02-06
Out Of State,3,102242,0,0,2021-02-06
Peoria,16154,236175,17,247,2021-02-06
Perry,2952,30755,9,56,2021-02-06
Piatt,1262,24346,7,13,2021-02-06
Pike,1653,14507,3,48,2021-02-06
Pope,271,2323,1,3,2021-02-06
Pulaski,655,4958,0,4,2021-02-06
Putnam,383,4543,1,3,2021-02-06
Randolph,3902,41318,6,74,2021-02-06
Richland,1613,19965,9,37,2021-02-06
Rock Island,12595,148772,43,278,2021-02-06
Saline,2195,25475,17,43,2021-02-06
Sangamon,15517,281080,40,212,2021-02-06
Schuyler,664,9505,12,5,2021-02-06
Scott,440,6749,0,1,2021-02-06
Shelby,2073,19902,3,33,2021-02-06
St. Clair,24257,271003,47,437,2021-02-06
Stark,511,7027,0,21,2021-02-06
Stephenson,3817,43012,19,66,2021-02-06
Tazewell,12896,166231,36,227,2021-02-06
Unassigned,61,97516,0,0,2021-02-06
Union,2148,26648,6,31,2021-02-06
Vermilion,8199,99881,17,107,2021-02-06
Wabash,1278,11290,5,12,2021-02-06
Warren,1645,13929,4,43,2021-02-06
Washington,1546,10414,6,21,2021-02-06
Wayne,1620,13136,2,44,2021-02-06
White,1538,19286,10,23,2021-02-06
Whiteside,5675,51908,43,139,2021-02-06
Will,62303,653385,76,860,2021-02-06
Williamson,6615,79255,12,115,2021-02-06
Winnebago,27603,298616,30,406,2021-02-06
Woodford,3518,50694,13,57,2021-02-06
Adams,7793,116123,31,109,2021-02-05
Alexander,426,4593,0,8,2021-02-05
Bond,1824,20646,6,21,2021-02-05
Boone,5776,47648,12,73,2021-02-05
Brown,647,18267,6,6,2021-02-05
Bureau,3161,33125,14,73,2021-02-05
Calhoun,461,4705,3,2,2021-02-05
Carroll,1522,16363,1,32,2021-02-05
Cass,1845,16054,9,22,2021-02-05
Champaign,16729,1529784,7,106,2021-02-05
Chicago,237036,3077803,242,4692,2021-02-05
Christian,3160,37440,18,62,2021-02-05
Clark,1614,12721,8,28,2021-02-05
Clay,1393,12686,5,38,2021-02-05
Clinton,5428,48399,9,85,2021-02-05
Coles,4960,59346,2,88,2021-02-05
Cook,221564,2811196,332,4285,2021-02-05
Crawford,1931,27312,16,21,2021-02-05
Cumberland,1138,9581,12,16,2021-02-05
De Witt,1215,16240,8,22,2021-02-05
DeKalb,7937,99562,6,105,2021-02-05
Douglas,2162,24371,6,29,2021-02-05
DuPage,73399,956354,81,1123,2021-02-05
Edgar,1518,11918,21,34,2021-02-05
Edwards,506,3389,1,8,2021-02-05
Effingham,4422,34781,12,68,2021-02-05
Fayette,3035,23440,4,52,2021-02-05
Ford,1474,22180,9,43,2021-02-05
Franklin,4029,39665,13,63,2021-02-05
Fulton,2734,59791,8,44,2021-02-05
Gallatin,415,3321,1,3,2021-02-05
Greene,1338,11542,15,30,2021-02-05
Grundy,4772,40384,6,57,2021-02-05
Hamilton,757,5728,3,14,2021-02-05
Hancock,1610,15180,11,27,2021-02-05
Hardin,326,4215,0,10,2021-02-05
Henderson,485,5674,9,8,2021-02-05
Henry,4217,53486,29,53,2021-02-05
Illinois,1141219,16464740,2077,19526,2021-02-05
Iroquois,2698,36767,2,58,2021-02-05
Jackson,4473,59453,12,59,2021-02-05
Jasper,1090,9494,2,17,2021-02-05
Jefferson,3812,37213,1,109,2021-02-05
Jersey,2397,24504,20,44,2021-02-05
Jo Daviess,1568,17353,3,22,2021-02-05
Johnson,1318,26065,6,9,2021-02-05
Kane,48821,497270,55,686,2021-02-05
Kankakee,12000,169042,8,185,2021-02-05
Kendall,10529,99729,9,80,2021-02-05
Knox,4837,68550,33,119,2021-02-05
Lake,56869,718956,79,888,2021-02-05
LaSalle,10234,125831,55,202,2021-02-05
Lawrence,2245,27420,9,23,2021-02-05
Lee,3233,49025,41,41,2021-02-05
Livingston,4000,66938,12,67,2021-02-05
Logan,3251,59510,13,50,2021-02-05
Macon,9222,126773,11,177,2021-02-05
Macoupin,4194,55603,29,73,2021-02-05
Madison,26666,241968,75,437,2021-02-05
Marion,4207,57373,7,108,2021-02-05
Marshall,793,14731,2,14,2021-02-05
Mason,1247,16890,1,41,2021-02-05
Massac,1184,9012,4,30,2021-02-05
McDonough,2256,34991,12,39,2021-02-05
McHenry,23135,243175,28,252,2021-02-05
McLean,14108,229982,36,146,2021-02-05
Menard,986,14655,4,6,2021-02-05
Mercer,1229,13946,0,31,2021-02-05
Monroe,3892,33054,0,75,2021-02-05
Montgomery,3315,50011,6,64,2021-02-05
Morgan,3419,43541,21,74,2021-02-05
Moultrie,1450,18621,8,20,2021-02-05
Ogle,4835,46364,8,67,2021-02-05
Out Of State,5,101200,0,0,2021-02-05
Peoria,16118,234916,16,244,2021-02-05
Perry,2940,30646,9,56,2021-02-05
Piatt,1260,24244,7,13,2021-02-05
Pike,1649,14440,3,48,2021-02-05
Pope,270,2314,1,3,2021-02-05
Pulaski,654,4926,0,4,2021-02-05
Putnam,380,4512,1,3,2021-02-05
Randolph,3893,40942,5,74,2021-02-05
Richland,1611,19863,9,37,2021-02-05
Rock Island,12571,148336,42,278,2021-02-05
Saline,2188,25326,17,43,2021-02-05
Sangamon,15453,279795,40,212,2021-02-05
Schuyler,664,9454,12,5,2021-02-05
Scott,433,6696,0,1,2021-02-05
Shelby,2069,19764,3,33,2021-02-05
St. Clair,24145,268796,47,435,2021-02-05
Stark,510,6978,0,21,2021-02-05
Stephenson,3806,42887,19,65,2021-02-05
Tazewell,12858,165573,35,227,2021-02-05
Unassigned,68,97076,0,0,2021-02-05
Union,2144,26506,6,30,2021-02-05
Vermilion,8160,98687,17,107,2021-02-05
Wabash,1275,11255,4,12,2021-02-05
Warren,1644,13877,4,43,2021-02-05
Washington,1543,10380,6,21,2021-02-05
Wayne,1613,13016,1,44,2021-02-05
