date,County,youthCaseCount,youthCaseTested
2020-11-29,Jo Daviess,181,1395
2020-11-29,Johnson,69,727
2020-11-29,Kane,5140,40610
2020-11-29,Kankakee,1268,10278
2020-11-29,Kendall,1015,10647
2020-11-29,Knox,364,4682
2020-11-29,Lake,6403,56151
2020-11-29,LaSalle,749,6855
2020-11-29,Lawrence,94,1305
2020-11-29,Lee,210,2201
2020-11-29,Livingston,277,3509
2020-11-29,Logan,174,3548
2020-11-29,Macon,885,9370
2020-11-29,Macoupin,334,4470
2020-11-29,Madison,1978,18127
2020-11-29,Marion,286,2876
2020-11-29,Marshall,57,913
2020-11-29,Mason,100,1488
2020-11-29,Massac,81,705
2020-11-29,McDonough,274,2673
2020-11-29,McHenry,2061,18668
2020-11-29,McLean,1682,28250
2020-11-29,Menard,57,1341
2020-11-29,Mercer,102,1526
2020-11-29,Monroe,299,2530
2020-11-29,Montgomery,109,2451
2020-11-29,Morgan,227,2640
2020-11-29,Moultrie,118,1624
2020-11-29,Ogle,368,4415
2020-11-29,Peoria,1566,23415
2020-11-29,Perry,144,1422
2020-11-29,Piatt,113,3281
2020-11-29,Pike,109,1007
2020-11-29,Pope,8,170
2020-11-29,Pulaski,49,301
2020-11-29,Putnam,28,299
2020-11-29,Randolph,307,2766
2020-11-29,Richland,100,1858
2020-11-29,Rock Island,1059,11761
2020-11-29,Saline,145,1779
2020-11-29,Sangamon,1413,21915
2020-11-29,Schuyler,31,377
2020-11-29,Scott,31,491
2020-11-29,Shelby,170,1606
2020-11-29,St. Clair,1986,17926
2020-11-29,Stark,45,679
2020-11-29,Stephenson,344,3459
2020-11-29,Tazewell,1072,15793
2020-11-29,Unassigned,23,7518
2020-11-29,Union,143,1289
2020-11-29,Vermilion,683,8439
2020-11-29,Wabash,111,884
2020-11-29,Warren,108,906
2020-11-29,Washington,95,820
2020-11-29,Wayne,160,1197
2020-11-29,White,75,1148
2020-11-29,Whiteside,492,4837
2020-11-29,Will,5725,47067
2020-11-29,Williamson,520,4956
2020-11-29,Winnebago,3009,30913
2020-11-29,Woodford,321,4848
2020-11-22,Adams,615,5498
2020-11-22,Alexander,24,256
2020-11-22,Bond,134,1093
2020-11-22,Boone,580,4709
2020-11-22,Brown,37,259
2020-11-22,Bureau,236,2032
2020-11-22,Calhoun,34,251
2020-11-22,Carroll,93,875
2020-11-22,Cass,134,1257
2020-11-22,Champaign,2906,263960
2020-11-22,Chicago,17467,190072
2020-11-22,Christian,130,2006
2020-11-22,Clark,123,1007
2020-11-22,Clay,92,1097
2020-11-22,Clinton,396,3259
2020-11-22,Coles,503,4806
2020-11-22,Cook,17412,172349
2020-11-22,Crawford,116,1266
2020-11-22,Cumberland,81,689
2020-11-22,De Witt,91,1392
2020-11-22,DeKalb,750,10384
2020-11-22,Douglas,231,2900
2020-11-22,DuPage,6223,63740
2020-11-22,Edgar,104,740
2020-11-22,Edwards,30,344
2020-11-22,Effingham,356,2392
2020-11-22,Fayette,186,1296
2020-11-22,Ford,97,1673
2020-11-22,Franklin,260,2339
2020-11-22,Fulton,216,3027
2020-11-22,Gallatin,27,287
2020-11-22,Greene,63,911
2020-11-22,Grundy,387,3553
2020-11-22,Hamilton,36,439
2020-11-22,Hancock,123,852
2020-11-22,Hardin,10,149
2020-11-22,Henderson,19,378
2020-11-22,Henry,356,3691
2020-11-22,Illinois,92646,1216720
2020-11-22,Iroquois,191,2457
2020-11-22,Jackson,434,4629
2020-11-22,Jasper,88,592
2020-11-22,Jefferson,170,2073
2020-11-22,Jersey,153,1332
2020-11-22,Jo Daviess,164,1302
2020-11-22,Johnson,67,676
2020-11-22,Kane,4719,38330
2020-11-22,Kankakee,1157,9553
2020-11-22,Kendall,917,9983
2020-11-22,Knox,344,4480
2020-11-22,Lake,5865,52289
2020-11-22,LaSalle,689,6341
2020-11-22,Lawrence,89,1247
2020-11-22,Lee,201,2072
2020-11-22,Livingston,247,3260
2020-11-22,Logan,160,3377
2020-11-22,Macon,810,8736
2020-11-22,Macoupin,290,4119
2020-11-22,Madison,1760,16785
2020-11-22,Marion,236,2657
2020-11-22,Marshall,49,839
2020-11-22,Mason,84,1386
2020-11-22,Massac,68,645
2020-11-22,McDonough,260,2533
2020-11-22,McHenry,1874,17493
2020-11-22,McLean,1532,26698
2020-11-22,Menard,54,1284
2020-11-22,Mercer,93,1437
2020-11-22,Monroe,267,2282
2020-11-22,Montgomery,91,2338
2020-11-22,Morgan,204,2433
2020-11-22,Moultrie,111,1511
2020-11-22,Ogle,341,4179
2020-11-22,Peoria,1400,21881
2020-11-22,Perry,131,1341
2020-11-22,Piatt,104,3110
2020-11-22,Pike,99,927
2020-11-22,Pope,7,162
2020-11-22,Pulaski,48,288
2020-11-22,Putnam,23,276
2020-11-22,Randolph,267,2570
2020-11-22,Richland,85,1698
2020-11-22,Rock Island,958,11201
2020-11-22,Saline,133,1649
2020-11-22,Sangamon,1277,20617
2020-11-22,Schuyler,28,341
2020-11-22,Scott,30,470
2020-11-22,Shelby,140,1477
2020-11-22,St. Clair,1766,16472
2020-11-22,Stark,36,627
2020-11-22,Stephenson,308,3276
2020-11-22,Tazewell,916,14415
2020-11-22,Unassigned,46,7324
2020-11-22,Union,129,1200
2020-11-22,Vermilion,594,7784
2020-11-22,Wabash,100,793
2020-11-22,Warren,100,840
2020-11-22,Washington,89,765
2020-11-22,Wayne,154,1139
2020-11-22,White,72,1064
2020-11-22,Whiteside,447,4602
2020-11-22,Will,5119,43530
2020-11-22,Williamson,487,4641
2020-11-22,Winnebago,2742,29062
2020-11-22,Woodford,287,4477
2020-11-15,Adams,514,4365
2020-11-15,Alexander,23,230
2020-11-15,Bond,118,884
2020-11-15,Boone,499,4344
2020-11-15,Brown,26,197
2020-11-15,Bureau,210,1836
2020-11-15,Calhoun,17,198
2020-11-15,Carroll,79,809
2020-11-15,Cass,97,1072
2020-11-15,Champaign,2626,245226
2020-11-15,Chicago,15308,174446
2020-11-15,Christian,107,1844
2020-11-15,Clark,104,910
2020-11-15,Clay,70,894
2020-11-15,Clinton,333,2798
2020-11-15,Coles,477,4553
2020-11-15,Cook,15178,158049
2020-11-15,Crawford,98,1094
2020-11-15,Cumberland,68,643
2020-11-15,De Witt,80,1280
2020-11-15,DeKalb,650,9449
2020-11-15,Douglas,210,2649
2020-11-15,DuPage,5199,58783
2020-11-15,Edgar,88,669
2020-11-15,Edwards,27,309
2020-11-15,Effingham,297,2140
2020-11-15,Fayette,167,1153
2020-11-15,Ford,70,1422
2020-11-15,Franklin,243,2162
2020-11-15,Fulton,195,2690
2020-11-15,Gallatin,25,252
2020-11-15,Greene,53,796
2020-11-15,Grundy,330,3238
2020-11-15,Hamilton,33,381
2020-11-15,Hancock,99,750
2020-11-15,Hardin,10,139
2020-11-15,Henderson,18,346
2020-11-15,Henry,275,3331
2020-11-15,Illinois,79895,1115226
2020-11-15,Iroquois,153,2125
2020-11-15,Jackson,376,4218
2020-11-15,Jasper,75,507
2020-11-15,Jefferson,150,1955
2020-11-15,Jersey,122,1170
2020-11-15,Jo Daviess,133,1217
2020-11-15,Johnson,63,618
2020-11-15,Kane,4069,35222
2020-11-15,Kankakee,946,8654
2020-11-15,Kendall,756,9119
2020-11-15,Knox,280,4124
2020-11-15,Lake,5226,48100
2020-11-15,LaSalle,581,5684
2020-11-15,Lawrence,68,1157
2020-11-15,Lee,172,1878
2020-11-15,Livingston,205,2942
2020-11-15,Logan,122,3072
2020-11-15,Macon,701,7823
2020-11-15,Macoupin,222,3673
2020-11-15,Madison,1510,14913
2020-11-15,Marion,202,2369
2020-11-15,Marshall,33,758
2020-11-15,Mason,67,1270
2020-11-15,Massac,51,554
2020-11-15,McDonough,234,2321
2020-11-15,McHenry,1608,15956
2020-11-15,McLean,1356,23630
2020-11-15,Menard,45,1159
2020-11-15,Mercer,81,1310
2020-11-15,Monroe,232,2081
2020-11-15,Montgomery,86,2143
2020-11-15,Morgan,160,2118
2020-11-15,Moultrie,95,1378
2020-11-15,Ogle,275,3799
2020-11-15,Peoria,1225,20068
2020-11-15,Perry,117,1208
2020-11-15,Piatt,88,2848
2020-11-15,Pike,74,822
